,Data,Temperatura Mínima,Temperatura Máxima
11,1961-01-02,-,-
12,1961-01-03,-,-
13,1961-01-04,-,-
14,1961-01-05,-,-
15,1961-01-06,-,-
16,1961-01-07,-,-
17,1961-01-08,-,-
18,1961-01-09,-,-
19,1961-01-10,-,-
20,1961-01-11,-,-
21,1961-01-12,-,-
22,1961-01-13,-,-
23,1961-01-14,-,-
24,1961-01-15,-,-
25,1961-01-16,-,-
26,1961-01-17,-,-
27,1961-01-18,-,-
28,1961-01-19,-,-
29,1961-01-20,-,-
30,1961-01-21,-,-
31,1961-01-22,-,-
32,1961-01-23,-,-
33,1961-01-24,-,-
34,1961-01-25,-,-
35,1961-01-26,-,-
36,1961-01-27,-,-
37,1961-01-28,-,-
38,1961-01-29,-,-
39,1961-01-30,-,-
40,1961-01-31,"13,6","26,2"
41,1961-02-01,"15,8","28,4"
42,1961-02-02,"17,2","27,4"
43,1961-02-03,"16,0","27,0"
44,1961-02-04,"17,4","23,8"
45,1961-02-05,"16,8","26,4"
46,1961-02-06,"17,2","25,0"
47,1961-02-07,"17,4","26,4"
48,1961-02-08,"17,0","25,2"
49,1961-02-09,"17,6","23,0"
50,1961-02-10,"17,0","26,2"
51,1961-02-11,"16,2","23,6"
52,1961-02-12,"14,4","26,6"
53,1961-02-13,"15,0","27,2"
54,1961-02-14,"14,6","24,8"
55,1961-02-15,"14,2","23,6"
56,1961-02-16,"14,0","21,8"
57,1961-02-17,"15,6","25,8"
58,1961-02-18,"16,4","24,0"
59,1961-02-19,"14,8","25,4"
60,1961-02-20,"16,2","26,6"
61,1961-02-21,"17,4","26,0"
62,1961-02-22,"18,0","26,4"
63,1961-02-23,"17,8","26,0"
64,1961-02-24,"18,2","26,6"
65,1961-02-25,"18,0","24,8"
66,1961-02-26,"18,4","25,6"
67,1961-02-27,"18,0","24,6"
68,1961-02-28,"14,6","19,2"
69,1961-03-01,"13,6","21,6"
70,1961-03-02,"14,6","26,0"
71,1961-03-03,"14,0","28,4"
72,1961-03-04,"16,2","27,2"
73,1961-03-05,"17,6","23,2"
74,1961-03-06,"14,0","18,2"
75,1961-03-07,"13,0","20,4"
76,1961-03-08,"15,4","23,8"
77,1961-03-09,"16,6","26,6"
78,1961-03-10,"17,0","28,0"
79,1961-03-11,"17,4","25,8"
80,1961-03-12,"16,8","25,2"
81,1961-03-13,"15,4","23,0"
82,1961-03-14,"15,6","22,2"
83,1961-03-15,"17,6","25,0"
84,1961-03-16,"18,0","26,0"
85,1961-03-17,"16,2","22,8"
86,1961-03-18,"13,8","17,2"
87,1961-03-19,"12,0","18,8"
88,1961-03-20,"14,6","18,6"
89,1961-03-21,"12,2","25,2"
90,1961-03-22,"13,8","26,6"
91,1961-03-23,"16,0","27,4"
92,1961-03-24,"17,0","28,0"
93,1961-03-25,"17,6","27,0"
94,1961-03-26,"14,2","26,0"
95,1961-03-27,"12,4","19,2"
96,1961-03-28,"9,8","19,4"
97,1961-03-29,"10,8","20,6"
98,1961-03-30,"9,2","21,6"
99,1961-03-31,"11,8","22,2"
100,1961-04-01,"11,6","23,8"
101,1961-04-02,"14,6","22,8"
102,1961-04-03,"14,2","18,6"
103,1961-04-04,"14,4","23,0"
104,1961-04-05,"14,4","23,6"
105,1961-04-06,"13,6","23,0"
106,1961-04-07,"14,0","21,6"
107,1961-04-08,"14,8","24,8"
108,1961-04-09,"13,8","26,2"
109,1961-04-10,"16,2","24,6"
110,1961-04-11,"15,8","25,0"
111,1961-04-12,"16,6","24,8"
112,1961-04-13,"15,8","21,6"
113,1961-04-14,"16,0","25,0"
114,1961-04-15,"17,0","25,2"
115,1961-04-16,"16,0","23,8"
116,1961-04-17,"16,8","25,2"
117,1961-04-18,"17,0","22,0"
118,1961-04-19,"11,8","19,2"
119,1961-04-20,"10,8","20,6"
120,1961-04-21,"12,0","20,4"
121,1961-04-22,"12,2","18,4"
122,1961-04-23,"11,6","22,0"
123,1961-04-24,"11,2","22,2"
124,1961-04-25,"12,2","18,2"
125,1961-04-26,"11,6","19,2"
126,1961-04-27,"8,2","18,2"
127,1961-04-28,"6,6","21,4"
128,1961-04-29,"8,4","22,2"
129,1961-04-30,"8,8","22,6"
130,1961-05-01,"8,8","21,0"
131,1961-05-02,"12,0","14,6"
132,1961-05-03,"11,6","16,8"
133,1961-05-04,"11,2","18,4"
134,1961-05-05,"10,2","20,0"
135,1961-05-06,"11,0","22,0"
136,1961-05-07,"13,4","18,0"
137,1961-05-08,"11,0","18,0"
138,1961-05-09,"7,8","20,4"
139,1961-05-10,"9,8","20,4"
140,1961-05-11,"11,6","19,4"
141,1961-05-12,"11,8","21,8"
142,1961-05-13,"13,6","21,2"
143,1961-05-14,"12,0","22,6"
144,1961-05-15,"13,0","22,8"
145,1961-05-16,"11,8","23,0"
146,1961-05-17,"15,2","23,0"
147,1961-05-18,"13,2","18,8"
148,1961-05-19,"10,4","17,2"
149,1961-05-20,"-0,2","17,2"
150,1961-05-21,"4,2","17,8"
151,1961-05-22,"8,2","18,6"
152,1961-05-23,"9,8","22,0"
153,1961-05-24,"9,0","21,8"
154,1961-05-25,"7,6","19,4"
155,1961-05-26,"8,2","16,4"
156,1961-05-27,"7,6","19,2"
157,1961-05-28,"6,6","20,8"
158,1961-05-29,"5,8","21,2"
159,1961-05-30,"8,4","22,2"
160,1961-05-31,"10,2","22,0"
161,1961-06-01,"11,2","20,0"
162,1961-06-02,"11,6","19,0"
163,1961-06-03,"9,4","22,0"
164,1961-06-04,"14,2","23,0"
165,1961-06-05,"12,8","17,6"
166,1961-06-06,"12,6","19,4"
167,1961-06-07,"13,6","21,8"
168,1961-06-08,"13,0","21,4"
169,1961-06-09,"11,2","21,6"
170,1961-06-10,"12,6","20,0"
171,1961-06-11,"10,6","14,2"
172,1961-06-12,"9,6","13,0"
173,1961-06-13,"8,6","10,2"
174,1961-06-14,"7,2","11,2"
175,1961-06-15,"0,4","13,8"
176,1961-06-16,"0,8","14,2"
177,1961-06-17,"1,6","13,2"
178,1961-06-18,"6,0","16,4"
179,1961-06-19,"10,6","21,0"
180,1961-06-20,"12,0","21,4"
181,1961-06-21,"10,8","19,0"
182,1961-06-22,"8,8","21,2"
183,1961-06-23,"5,8","19,4"
184,1961-06-24,"6,0","15,6"
185,1961-06-25,"10,6","20,2"
186,1961-06-26,"10,4","20,8"
187,1961-06-27,"11,6","21,0"
188,1961-06-28,"12,6","20,8"
189,1961-06-29,"13,2","23,2"
190,1961-06-30,"12,2","22,4"
191,1961-07-01,"13,0","21,0"
192,1961-07-02,"11,6","21,8"
193,1961-07-03,"12,0","21,0"
194,1961-07-04,"11,6","20,0"
195,1961-07-05,"11,8","21,6"
196,1961-07-06,"12,6","20,4"
197,1961-07-07,"12,2","20,6"
198,1961-07-08,"8,2","14,6"
199,1961-07-09,"7,8","14,4"
200,1961-07-10,"7,8","10,4"
201,1961-07-11,"7,8","18,0"
202,1961-07-12,"8,2","20,0"
203,1961-07-13,"12,8","22,6"
204,1961-07-14,"13,6","22,6"
205,1961-07-15,"12,4","20,8"
206,1961-07-16,"11,2","22,2"
207,1961-07-17,"10,8","21,2"
208,1961-07-18,"10,0","23,0"
209,1961-07-19,"11,6","23,4"
210,1961-07-20,"11,8","23,4"
211,1961-07-21,"14,2","22,6"
212,1961-07-22,"7,8","19,0"
213,1961-07-23,"6,2","20,6"
214,1961-07-24,"9,6","21,2"
215,1961-07-25,"11,8","22,8"
216,1961-07-26,"12,0","20,2"
217,1961-07-27,"8,8","14,0"
218,1961-07-28,"8,0","15,2"
219,1961-07-29,"7,4","15,0"
220,1961-07-30,"7,2","20,6"
221,1961-07-31,"7,2","20,6"
222,1961-08-01,"8,4","20,2"
223,1961-08-02,"4,4","18,6"
224,1961-08-03,"6,8","21,4"
225,1961-08-04,"6,8","22,8"
226,1961-08-05,"10,8","24,0"
227,1961-08-06,"12,4","25,6"
228,1961-08-07,"10,0","25,2"
229,1961-08-08,"10,4","23,0"
230,1961-08-09,"10,0","20,6"
231,1961-08-10,"7,8","23,2"
232,1961-08-11,"10,2","22,8"
233,1961-08-12,"10,4","21,8"
234,1961-08-13,"10,8","24,0"
235,1961-08-14,"13,2","19,4"
236,1961-08-15,"13,6","22,0"
237,1961-08-16,"12,6","16,2"
238,1961-08-17,"6,2","23,4"
239,1961-08-18,"11,0","25,4"
240,1961-08-19,"14,6","24,6"
241,1961-08-20,"11,8","21,8"
242,1961-08-21,"10,4","25,4"
243,1961-08-22,"9,6","23,0"
244,1961-08-23,"12,4","19,2"
245,1961-08-24,"13,2","24,4"
246,1961-08-25,"11,2","23,8"
247,1961-08-26,"9,6","24,0"
248,1961-08-27,"14,4","26,8"
249,1961-08-28,"17,6","25,4"
250,1961-08-29,"15,6","26,4"
251,1961-08-30,"12,8","24,4"
252,1961-08-31,"13,0","24,2"
253,1961-09-01,"14,2","26,2"
254,1961-09-02,"13,4","24,6"
255,1961-09-03,"18,8","26,4"
256,1961-09-04,"17,8","27,4"
257,1961-09-05,"14,0","24,4"
258,1961-09-06,"10,2","14,4"
259,1961-09-07,"9,2","14,2"
260,1961-09-08,"10,2","14,2"
261,1961-09-09,"13,2","19,2"
262,1961-09-10,"12,0","25,0"
263,1961-09-11,"11,8","16,4"
264,1961-09-12,"11,8","22,6"
265,1961-09-13,"14,8","26,4"
266,1961-09-14,"16,6","27,8"
267,1961-09-15,"18,2","28,4"
268,1961-09-16,"14,6","28,2"
269,1961-09-17,"17,2","29,0"
270,1961-09-18,"16,4","29,4"
271,1961-09-19,"15,8","26,4"
272,1961-09-20,"15,4","27,8"
273,1961-09-21,"13,4","23,8"
274,1961-09-22,"12,4","18,0"
275,1961-09-23,"11,4","21,0"
276,1961-09-24,"15,6","25,2"
277,1961-09-25,"14,2","18,0"
278,1961-09-26,"14,8","24,2"
279,1961-09-27,"14,8","26,2"
280,1961-09-28,"14,8","23,0"
281,1961-09-29,"7,2","15,4"
282,1961-09-30,"4,8","21,4"
