Nome: GUARAPUAVA
Codigo Estacao: 83834
Latitude: -25.4
Longitude: -51.46999999
Altitude: 1.13
Situacao: Desativada
Data Inicial: 1912-01-01
Data Final: 1988-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);
1961-01-01;20.8;17.2;
1961-01-02;null;null;
1961-01-03;null;null;
1961-01-04;null;null;
1961-01-05;null;null;
1961-01-06;null;null;
1961-01-07;null;null;
1961-01-08;null;null;
1961-01-09;null;null;
1961-01-10;null;null;
1961-01-11;null;null;
1961-01-12;null;null;
1961-01-13;null;null;
1961-01-14;null;null;
1961-01-15;null;null;
1961-01-16;null;null;
1961-01-17;null;null;
1961-01-18;null;null;
1961-01-19;null;null;
1961-01-20;null;null;
1961-01-21;null;null;
1961-01-22;null;null;
1961-01-23;null;null;
1961-01-24;null;null;
1961-01-25;null;null;
1961-01-26;null;null;
1961-01-27;null;null;
1961-01-28;null;null;
1961-01-29;null;null;
1961-01-30;null;null;
1961-01-31;26.2;13.6;
1961-02-01;28.4;15.8;
1961-02-02;27.4;17.2;
1961-02-03;27;16;
1961-02-04;23.8;17.4;
1961-02-05;26.4;16.8;
1961-02-06;25;17.2;
1961-02-07;26.4;17.4;
1961-02-08;25.2;17;
1961-02-09;23;17.6;
1961-02-10;26.2;17;
1961-02-11;23.6;16.2;
1961-02-12;26.6;14.4;
1961-02-13;27.2;15;
1961-02-14;24.8;14.6;
1961-02-15;23.6;14.2;
1961-02-16;21.8;14;
1961-02-17;25.8;15.6;
1961-02-18;24;16.4;
1961-02-19;25.4;14.8;
1961-02-20;26.6;16.2;
1961-02-21;26;17.4;
1961-02-22;26.4;18;
1961-02-23;26;17.8;
1961-02-24;26.6;18.2;
1961-02-25;24.8;18;
1961-02-26;25.6;18.4;
1961-02-27;24.6;18;
1961-02-28;19.2;14.6;
1961-03-01;21.6;13.6;
1961-03-02;26;14.6;
1961-03-03;28.4;14;
1961-03-04;27.2;16.2;
1961-03-05;23.2;17.6;
1961-03-06;18.2;14;
1961-03-07;20.4;13;
1961-03-08;23.8;15.4;
1961-03-09;26.6;16.6;
1961-03-10;28;17;
1961-03-11;25.8;17.4;
1961-03-12;25.2;16.8;
1961-03-13;23;15.4;
1961-03-14;22.2;15.6;
1961-03-15;25;17.6;
1961-03-16;26;18;
1961-03-17;22.8;16.2;
1961-03-18;17.2;13.8;
1961-03-19;18.8;12;
1961-03-20;18.6;14.6;
1961-03-21;25.2;12.2;
1961-03-22;26.6;13.8;
1961-03-23;27.4;16;
1961-03-24;28;17;
1961-03-25;27;17.6;
1961-03-26;26;14.2;
1961-03-27;19.2;12.4;
1961-03-28;19.4;9.8;
1961-03-29;20.6;10.8;
1961-03-30;21.6;9.2;
1961-03-31;22.2;11.8;
1961-04-01;23.8;11.6;
1961-04-02;22.8;14.6;
1961-04-03;18.6;14.2;
1961-04-04;23;14.4;
1961-04-05;23.6;14.4;
1961-04-06;23;13.6;
1961-04-07;21.6;14;
1961-04-08;24.8;14.8;
1961-04-09;26.2;13.8;
1961-04-10;24.6;16.2;
1961-04-11;25;15.8;
1961-04-12;24.8;16.6;
1961-04-13;21.6;15.8;
1961-04-14;25;16;
1961-04-15;25.2;17;
1961-04-16;23.8;16;
1961-04-17;25.2;16.8;
1961-04-18;22;17;
1961-04-19;19.2;11.8;
1961-04-20;20.6;10.8;
1961-04-21;20.4;12;
1961-04-22;18.4;12.2;
1961-04-23;22;11.6;
1961-04-24;22.2;11.2;
1961-04-25;18.2;12.2;
1961-04-26;19.2;11.6;
1961-04-27;18.2;8.2;
1961-04-28;21.4;6.6;
1961-04-29;22.2;8.4;
1961-04-30;22.6;8.8;
1961-05-01;21;8.8;
1961-05-02;14.6;12;
1961-05-03;16.8;11.6;
1961-05-04;18.4;11.2;
1961-05-05;20;10.2;
1961-05-06;22;11;
1961-05-07;18;13.4;
1961-05-08;18;11;
1961-05-09;20.4;7.8;
1961-05-10;20.4;9.8;
1961-05-11;19.4;11.6;
1961-05-12;21.8;11.8;
1961-05-13;21.2;13.6;
1961-05-14;22.6;12;
1961-05-15;22.8;13;
1961-05-16;23;11.8;
1961-05-17;23;15.2;
1961-05-18;18.8;13.2;
1961-05-19;17.2;10.4;
1961-05-20;17.2;-.2;
1961-05-21;17.8;4.2;
1961-05-22;18.6;8.2;
1961-05-23;22;9.8;
1961-05-24;21.8;9;
1961-05-25;19.4;7.6;
1961-05-26;16.4;8.2;
1961-05-27;19.2;7.6;
1961-05-28;20.8;6.6;
1961-05-29;21.2;5.8;
1961-05-30;22.2;8.4;
1961-05-31;22;10.2;
1961-06-01;20;11.2;
1961-06-02;19;11.6;
1961-06-03;22;9.4;
1961-06-04;23;14.2;
1961-06-05;17.6;12.8;
1961-06-06;19.4;12.6;
1961-06-07;21.8;13.6;
1961-06-08;21.4;13;
1961-06-09;21.6;11.2;
1961-06-10;20;12.6;
1961-06-11;14.2;10.6;
1961-06-12;13;9.6;
1961-06-13;10.2;8.6;
1961-06-14;11.2;7.2;
1961-06-15;13.8;.4;
1961-06-16;14.2;.8;
1961-06-17;13.2;1.6;
1961-06-18;16.4;6;
1961-06-19;21;10.6;
1961-06-20;21.4;12;
1961-06-21;19;10.8;
1961-06-22;21.2;8.8;
1961-06-23;19.4;5.8;
1961-06-24;15.6;6;
1961-06-25;20.2;10.6;
1961-06-26;20.8;10.4;
1961-06-27;21;11.6;
1961-06-28;20.8;12.6;
1961-06-29;23.2;13.2;
1961-06-30;22.4;12.2;
1961-07-01;21;13;
1961-07-02;21.8;11.6;
1961-07-03;21;12;
1961-07-04;20;11.6;
1961-07-05;21.6;11.8;
1961-07-06;20.4;12.6;
1961-07-07;20.6;12.2;
1961-07-08;14.6;8.2;
1961-07-09;14.4;7.8;
1961-07-10;10.4;7.8;
1961-07-11;18;7.8;
1961-07-12;20;8.2;
1961-07-13;22.6;12.8;
1961-07-14;22.6;13.6;
1961-07-15;20.8;12.4;
1961-07-16;22.2;11.2;
1961-07-17;21.2;10.8;
1961-07-18;23;10;
1961-07-19;23.4;11.6;
1961-07-20;23.4;11.8;
1961-07-21;22.6;14.2;
1961-07-22;19;7.8;
1961-07-23;20.6;6.2;
1961-07-24;21.2;9.6;
