Nome: VILHENA
Codigo Estacao: A938
Latitude: -12.73499999
Longitude: -60.15777777
Altitude: 583.3
Situacao: Operante
Data Inicial: 2008-08-25
Data Final: 2023-07-05
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2008-08-25;null;null;
2008-08-26;null;null;
2008-08-27;null;null;
2008-08-28;33.7;22.1;
2008-08-29;31;21.1;
2008-08-30;31.1;17;
2008-08-31;33.5;17.8;
2008-09-01;35.1;20.9;
2008-09-02;35;21.9;
2008-09-03;34.5;21.5;
2008-09-04;31.4;20.3;
2008-09-05;28.4;21.7;
2008-09-06;23.2;17.7;
2008-09-07;27.4;13;
2008-09-08;32.7;15;
2008-09-09;34.8;21.3;
2008-09-10;33.9;22.6;
2008-09-11;33.3;19.9;
2008-09-12;34.1;20.8;
2008-09-13;31.5;20.4;
2008-09-14;30.6;18.9;
2008-09-15;33.4;19.9;
2008-09-16;32;20.3;
2008-09-17;33;19.4;
2008-09-18;34.3;21.8;
2008-09-19;34.6;20.6;
2008-09-20;29.2;21.1;
2008-09-21;19.6;16.7;
2008-09-22;27.5;16.9;
2008-09-23;31.4;18;
2008-09-24;33.4;20.8;
2008-09-25;35.5;22.8;
2008-09-26;33.8;20.5;
2008-09-27;32.9;22.3;
2008-09-28;33.9;22.7;
2008-09-29;33.1;21.2;
2008-09-30;34.8;21.3;
2008-10-01;34.7;21.4;
2008-10-02;34;22;
2008-10-03;28.7;20.3;
2008-10-04;31.4;19.7;
2008-10-05;28.2;21.5;
2008-10-06;29.9;18.3;
2008-10-07;29;19.8;
2008-10-08;32.3;19.9;
2008-10-09;34.7;21.3;
2008-10-10;32.5;22.1;
2008-10-11;32.5;22.1;
2008-10-12;32.1;21.1;
2008-10-13;34.5;20.7;
2008-10-14;34.1;21.2;
2008-10-15;34.1;20.2;
2008-10-16;34.4;19.8;
2008-10-17;32.8;21.2;
2008-10-18;28.8;19.5;
2008-10-19;29;20.3;
2008-10-20;30.6;20;
2008-10-21;28.3;21.1;
2008-10-22;31;20.6;
2008-10-23;32;21.9;
2008-10-24;30.7;22;
2008-10-25;30.3;19.9;
2008-10-26;32;20.3;
2008-10-27;33;21.4;
2008-10-28;33.6;21.4;
2008-10-29;33.5;22.7;
2008-10-30;28.5;20.7;
2008-10-31;29.5;20.1;
2008-11-01;29.1;21.2;
2008-11-02;31.9;20.3;
2008-11-03;33.1;21.5;
2008-11-04;31.7;21.6;
2008-11-05;32.3;19.8;
2008-11-06;29.1;21.4;
2008-11-07;30.2;19.8;
2008-11-08;32.5;22;
2008-11-09;33.8;23;
2008-11-10;30.3;21.7;
2008-11-11;29.2;22.2;
2008-11-12;30.8;20.8;
2008-11-13;29.5;20.7;
2008-11-14;30.9;21;
2008-11-15;32.2;22.5;
2008-11-16;27.1;22.1;
2008-11-17;24.8;18.3;
2008-11-18;27.9;18.6;
2008-11-19;28.6;21.4;
2008-11-20;29.5;20.6;
2008-11-21;30.4;20.5;
2008-11-22;30.7;21.8;
2008-11-23;31.1;21.5;
2008-11-24;29.3;20;
2008-11-25;31.7;22;
2008-11-26;31.8;22.1;
2008-11-27;31.2;20.9;
