,Data,Temperatura Mínima,Temperatura Máxima,"('Data', 'Temperatura mínima', 'Temperatura máxima')"
11,1961-01-01,23.1,31.4,1961-01-01
12,1961-01-02,22.0,31.7,1961-01-02
13,1961-01-03,22.1,33.0,1961-01-03
14,1961-01-04,22.1,32.7,1961-01-04
15,1961-01-05,24.0,32.8,1961-01-05
16,1961-01-06,22.0,32.1,1961-01-06
17,1961-01-07,22.5,32.5,1961-01-07
18,1961-01-08,23.6,30.5,1961-01-08
19,1961-01-09,23.6,28.6,1961-01-09
20,1961-01-10,22.9,27.0,1961-01-10
21,1961-01-11,22.1,26.5,1961-01-11
22,1961-01-12,21.5,29.5,1961-01-12
23,1961-01-13,22.1,26.5,1961-01-13
24,1961-01-14,22.1,28.8,1961-01-14
25,1961-01-15,22.5,31.3,1961-01-15
26,1961-01-16,22.5,31.4,1961-01-16
27,1961-01-17,23.8,30.4,1961-01-17
28,1961-01-18,23.2,28.7,1961-01-18
29,1961-01-19,21.8,30.3,1961-01-19
30,1961-01-20,23.0,30.7,1961-01-20
31,1961-01-21,22.7,28.8,1961-01-21
32,1961-01-22,23.2,30.9,1961-01-22
33,1961-01-23,23.2,30.5,1961-01-23
34,1961-01-24,23.1,31.7,1961-01-24
35,1961-01-25,22.7,33.3,1961-01-25
36,1961-01-26,21.9,33.7,1961-01-26
37,1961-01-27,23.4,32.7,1961-01-27
38,1961-01-28,22.9,28.3,1961-01-28
39,1961-01-29,22.7,32.3,1961-01-29
40,1961-01-30,22.4,29.8,1961-01-30
41,1961-01-31,22.8,27.6,1961-01-31
42,1961-02-01,22.7,31.0,1961-02-01
43,1961-02-02,21.7,27.2,1961-02-02
44,1961-02-03,21.4,29.6,1961-02-03
45,1961-02-04,21.1,27.0,1961-02-04
46,1961-02-05,21.1,27.4,1961-02-05
47,1961-02-06,19.6,30.7,1961-02-06
48,1961-02-07,22.2,32.8,1961-02-07
49,1961-02-08,22.9,31.0,1961-02-08
50,1961-02-09,23.3,29.1,1961-02-09
51,1961-02-10,20.8,25.7,1961-02-10
52,1961-02-11,21.4,30.6,1961-02-11
53,1961-02-12,22.9,31.0,1961-02-12
54,1961-02-13,21.0,32.2,1961-02-13
55,1961-02-14,20.9,32.4,1961-02-14
56,1961-02-15,22.3,32.5,1961-02-15
57,1961-02-16,22.8,31.6,1961-02-16
58,1961-02-17,22.1,30.4,1961-02-17
59,1961-02-18,22.7,30.8,1961-02-18
